,appid,playtime_2weeks,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,rtime_last_played
0,47920,798.0,195352,171919,0,0,1679254388
1,24740,798.0,195350,144912,0,0,1679254380
2,47870,799.0,195325,148971,0,0,1679254385
3,24870,799.0,195310,166604,0,0,1679254382
4,17430,799.0,195308,152484,0,0,1679254386
5,227300,,99552,9122,0,0,1665775375
6,1282590,937.0,45702,45702,0,0,1679743076
7,282560,,38934,0,0,0,1551468806
8,238960,,27285,1677,0,0,1648328087
9,379430,,23100,0,0,0,1561657152
